,review,score,source,cleaned_review,cleaned_reduced_review,cleaned_review_length
2383,The food was terrible.,0,yelp,The food was terrible,food terrible,4
2384,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,yelp,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED,never ever go back told many people happened,13
2385,I don't recommend unless your car breaks down in front of it and you are starving.,0,yelp,I dont recommend unless your car breaks down in front of it and you are starving,dont recommend unless car breaks front starving,16
2386,I will come back here every time I'm in Vegas.,1,yelp,I will come back here every time Im in Vegas,come back every time im vegas,10
2387,This place deserves one star and 90% has to do with the food.,0,yelp,This place deserves one star and 90 has to do with the food,place deserves one star 90 food,13
2388,This is a disgrace.,0,yelp,This is a disgrace,disgrace,4
2389,Def coming back to bowl next time,1,yelp,Def coming back to bowl next time,def coming back bowl next time,7
2390,"If you want healthy authentic or ethic food, try this place.",1,yelp,If you want healthy authentic or ethic food try this place,want healthy authentic ethic food try place,11
2391,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;,1,yelp,I will continue to come here on ladies night andddd date night  highly recommend this place to anyone who is in the area ,continue come ladies night andddd date night highly recommend place anyone area,23
2392,"I have been here several times in the past, and the experience has always been great.",1,yelp,I have been here several times in the past and the experience has always been great,several times past experience always great,16
2393,We walked away stuffed and happy about our first Vegas buffet experience.,1,yelp,We walked away stuffed and happy about our first Vegas buffet experience,walked away stuffed happy first vegas buffet experience,12
2394,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,yelp,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria,service excellent prices pretty reasonable considering vegas located inside crystals shopping mall aria,21
2395,"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,yelp,To summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,22
2396,I'm probably one of the few people to ever go to Ians and not like it.,0,yelp,Im probably one of the few people to ever go to Ians and not like it,im probably one people ever go ians like,16
2397,Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,yelp,Kids pizza is always a hit too with lots of great side dish options for the kiddos,kids pizza always hit lots great side dish options kiddos,17
2398,Service is perfect and the family atmosphere is nice to see.,1,yelp,Service is perfect and the family atmosphere is nice to see,service perfect family atmosphere nice see,11
2399,Cooked to perfection and the service was impeccable.,1,yelp,Cooked to perfection and the service was impeccable,cooked perfection service impeccable,8
2400,This one is simply a disappointment.,0,yelp,This one is simply a disappointment,one simply disappointment,6
2401,"Overall, I was very disappointed with the quality of food at Bouchon.",0,yelp,Overall I was very disappointed with the quality of food at Bouchon,overall disappointed quality food bouchon,12
2402,I don't have to be an accountant to know I'm getting screwed!,0,yelp,I dont have to be an accountant to know Im getting screwed,dont accountant know im getting screwed,12
2403,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,yelp,Great place to eat reminds me of the little mom and pop shops in the San Francisco Bay Area,great place eat reminds little mom pop shops san francisco bay area,19
2404,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,yelp,Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible,today first taste buldogis gourmet hot dog tell ever thought possible,25
2405,Left very frustrated.,0,yelp,Left very frustrated,left frustrated,3
2406,I'll definitely be in soon again.,1,yelp,Ill definitely be in soon again,ill definitely soon,6
2407,Food was really good and I got full petty fast.,1,yelp,Food was really good and I got full petty fast,food really good got full petty fast,10
2408,Service was fantastic.,1,yelp,Service was fantastic,service fantastic,3
2409,TOTAL WASTE OF TIME.,0,yelp,TOTAL WASTE OF TIME,total waste time,4
2410,I don't know what kind it is but they have the best iced tea.,1,yelp,I dont know what kind it is but they have the best iced tea,dont know kind best iced tea,14
2411,"Come hungry, leave happy and stuffed!",1,yelp,Come hungry leave happy and stuffed,come hungry leave happy stuffed,6
2412,"For service, I give them no stars.",0,yelp,For service I give them no stars,service give stars,7
2413,I can assure you that you won't be disappointed.,1,yelp,I can assure you that you wont be disappointed,assure wont disappointed,9
2414,I can take a little bad service but the food sucks.,0,yelp,I can take a little bad service but the food sucks,take little bad service food sucks,11
2415,Gave up trying to eat any of the crust (teeth still sore).,0,yelp,Gave up trying to eat any of the crust teeth still sore,gave trying eat crust teeth still sore,12
2416,But now I was completely grossed out.,0,yelp,But now I was completely grossed out,completely grossed,7
2417,I really enjoyed eating here.,1,yelp,I really enjoyed eating here,really enjoyed eating,5
2418,First time going but I think I will quickly become a regular.,1,yelp,First time going but I think I will quickly become a regular,first time going think quickly become regular,12
2419,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,yelp,Our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,server nice even though looked little overwhelmed needs stayed professional friendly end,26
2420,From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,yelp,From what my dinner companions told meeverything was very fresh with nice texture and taste,dinner companions told meeverything fresh nice texture taste,15
2421,"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,yelp,On the ground right next to our table was a large smeared beensteppedinandtrackedeverywhere pile of green bird poop,ground right next table large smeared beensteppedinandtrackedeverywhere pile green bird poop,18
2422,"Furthermore, you can't even find hours of operation on the website!",0,yelp,Furthermore you cant even find hours of operation on the website,furthermore cant even find hours operation website,11
2423,We've tried to like this place but after 10+ times I think we're done with them.,0,yelp,Weve tried to like this place but after 10 times I think were done with them,weve tried like place 10 times think done,16
2424,What a mistake that was!,0,yelp,What a mistake that was,mistake,5
2425,No complaints!,1,yelp,No complaints,complaints,2
2426,This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,yelp,This is some seriously good pizza and Im an expertconnisseur on the topic,seriously good pizza im expertconnisseur topic,13
2427,Waiter was a jerk.,0,yelp,Waiter was a jerk,waiter jerk,4
2428,"Strike 2, who wants to be rushed.",0,yelp,Strike 2 who wants to be rushed,strike 2 wants rushed,7
2429,These are the nicest restaurant owners I've ever come across.,1,yelp,These are the nicest restaurant owners Ive ever come across,nicest restaurant owners ive ever come across,10
2430,I never come again.,0,yelp,I never come again,never come,4
2431,We loved the biscuits!!!,1,yelp,We loved the biscuits,loved biscuits,4
2432,Service is quick and friendly.,1,yelp,Service is quick and friendly,service quick friendly,5
2433,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0,yelp,Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes,ordered appetizer took 40 minutes pizza another 10 minutes,14
2434,So absolutley fantastic.,1,yelp,So absolutley fantastic,absolutley fantastic,3
2435,It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0,yelp,It was a huge awkward 15lb piece of cow that was 34ths gristle and fat,huge awkward 15lb piece cow 34ths gristle fat,15
2436,definitely will come back here again.,1,yelp,definitely will come back here again,definitely come back,6
2437,I like Steiners because it's dark and it feels like a bar.,1,yelp,I like Steiners because its dark and it feels like a bar,like steiners dark feels like bar,12
2438,Wow very spicy but delicious.,1,yelp,Wow very spicy but delicious,wow spicy delicious,5
2439,"If you're not familiar, check it out.",1,yelp,If youre not familiar check it out,youre familiar check,7
2440,I'll take my business dinner dollars elsewhere.,0,yelp,Ill take my business dinner dollars elsewhere,ill take business dinner dollars elsewhere,7
2441,I'd love to go back.,1,yelp,Id love to go back,id love go back,5
2442,"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1,yelp,Anyway this FS restaurant has a wonderful breakfastlunch,anyway fs restaurant wonderful breakfastlunch,8
2443,Nothing special.,0,yelp,Nothing special,nothing special,2
2444,Each day of the week they have a different deal and it's all so delicious!,1,yelp,Each day of the week they have a different deal and its all so delicious,day week different deal delicious,15
2445,"Not to mention the combination of pears, almonds and bacon is a big winner!",1,yelp,Not to mention the combination of pears almonds and bacon is a big winner,mention combination pears almonds bacon big winner,14
2446,Will not be back.,0,yelp,Will not be back,back,4
2447,Sauce was tasteless.,0,yelp,Sauce was tasteless,sauce tasteless,3
2448,"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,yelp,The food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,food delicious spicy enough sure ask spicier prefer way,21
2449,My ribeye steak was cooked perfectly and had great mesquite flavor.,1,yelp,My ribeye steak was cooked perfectly and had great mesquite flavor,ribeye steak cooked perfectly great mesquite flavor,11
2450,I don't think we'll be going back anytime soon.,0,yelp,I dont think well be going back anytime soon,dont think well going back anytime soon,9
2451,Food was so gooodd.,1,yelp,Food was so gooodd,food gooodd,4
2452,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.,0,yelp,I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food,far sushi connoisseur definitely tell difference good food bad food certainly bad food,26
2453,I was so insulted.,0,yelp,I was so insulted,insulted,4
2454,The last 3 times I had lunch here has been bad.,0,yelp,The last 3 times I had lunch here has been bad,last 3 times lunch bad,11
2455,The chicken wings contained the driest chicken meat I have ever eaten.,0,yelp,The chicken wings contained the driest chicken meat I have ever eaten,chicken wings contained driest chicken meat ever eaten,12
2456,"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,yelp,The food was very good and I enjoyed every mouthful an enjoyable relaxed venue for couples small family groups etc,food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc,20
2457,Nargile - I think you are great.,1,yelp,Nargile  I think you are great,nargile think great,6
2458,Best tater tots in the southwest.,1,yelp,Best tater tots in the southwest,best tater tots southwest,6
2459,We loved the place.,1,yelp,We loved the place,loved place,4
2460,Definitely not worth the $3 I paid.,0,yelp,Definitely not worth the 3 I paid,definitely worth 3 paid,7
2461,The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.,1,yelp,The vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough,vanilla ice cream creamy smooth profiterole choux pastry fresh enough,16
2462,Im in AZ all the time and now have my new spot.,1,yelp,Im in AZ all the time and now have my new spot,im az time new spot,12
2463,The manager was the worst.,0,yelp,The manager was the worst,manager worst,5
2464,The inside is really quite nice and very clean.,1,yelp,The inside is really quite nice and very clean,inside really quite nice clean,9
2465,The food was outstanding and the prices were very reasonable.,1,yelp,The food was outstanding and the prices were very reasonable,food outstanding prices reasonable,10
2466,I don't think I'll be running back to Carly's anytime soon for food.,0,yelp,I dont think Ill be running back to Carlys anytime soon for food,dont think ill running back carlys anytime soon food,13
2467,"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.",0,yelp,This is was due to the fact that it took 20 minutes to be acknowledged then another 35 minutes to get our foodand they kept forgetting things,due fact took 20 minutes acknowledged another 35 minutes get foodand kept forgetting things,27
2468,"Love the margaritas, too!",1,yelp,Love the margaritas too,love margaritas,4
2469,This was my first and only Vegas buffet and it did not disappoint.,1,yelp,This was my first and only Vegas buffet and it did not disappoint,first vegas buffet disappoint,13
2470,"Very good, though!",1,yelp,Very good though,good though,3
2471,The one down note is the ventilation could use some upgrading.,0,yelp,The one down note is the ventilation could use some upgrading,one note ventilation could use upgrading,11
2472,Great pork sandwich.,1,yelp,Great pork sandwich,great pork sandwich,3
2473,Don't waste your time here.,0,yelp,Dont waste your time here,dont waste time,5
2474,"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,yelp,Total letdown I would much rather just go to the Camelback Flower Shop and Cartel Coffee,total letdown would much rather go camelback flower shop cartel coffee,16
2475,"Third, the cheese on my friend's burger was cold.",0,yelp,Third the cheese on my friends burger was cold,third cheese friends burger cold,9
2476,We enjoy their pizza and brunch.,1,yelp,We enjoy their pizza and brunch,enjoy pizza brunch,6
2477,The steaks are all well trimmed and also perfectly cooked.,1,yelp,The steaks are all well trimmed and also perfectly cooked,steaks well trimmed also perfectly cooked,10
2478,We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,yelp,We had a group of 70 when we claimed we would only have 40 and they handled us beautifully,group 70 claimed would 40 handled us beautifully,19
2479,I LOVED it!,1,yelp,I LOVED it,loved,3
2480,We asked for the bill to leave without eating and they didn't bring that either.,0,yelp,We asked for the bill to leave without eating and they didnt bring that either,asked bill leave without eating didnt bring either,15
2481,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",1,yelp,This place is a jewel in Las Vegas and exactly what Ive been hoping to find in nearly ten years living here,place jewel las vegas exactly ive hoping find nearly ten years living,22
2482,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,yelp,Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh,seafood limited boiled shrimp crab legs crab legs definitely taste fresh,18
2483,The selection of food was not the best.,0,yelp,The selection of food was not the best,selection food best,8
2484,Delicious and I will absolutely be back!,1,yelp,Delicious and I will absolutely be back,delicious absolutely back,7
2485,"This isn't a small family restaurant, this is a fine dining establishment.",1,yelp,This isnt a small family restaurant this is a fine dining establishment,isnt small family restaurant fine dining establishment,12
2486,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1,yelp,They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle,toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,21
2487,I dont think I will be back for a very long time.,0,yelp,I dont think I will be back for a very long time,dont think back long time,12
2488,"It was attached to a gas station, and that is rarely a good sign.",0,yelp,It was attached to a gas station and that is rarely a good sign,attached gas station rarely good sign,14
2489,How awesome is that.,1,yelp,How awesome is that,awesome,4
2490,I will be back many times soon.,1,yelp,I will be back many times soon,back many times soon,7
2491,The menu had so much good stuff on it i could not decide!,1,yelp,The menu had so much good stuff on it i could not decide,menu much good stuff could decide,13
2492,"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,yelp,Worse of all he humiliated his worker right in front of meBunch of horrible name callings,worse humiliated worker right front mebunch horrible name callings,16
2493,CONCLUSION: Very filling meals.,1,yelp,CONCLUSION Very filling meals,conclusion filling meals,4
2494,Their daily specials are always a hit with my group.,1,yelp,Their daily specials are always a hit with my group,daily specials always hit group,10
2495,And then tragedy struck.,0,yelp,And then tragedy struck,tragedy struck,4
2496,The pancake was also really good and pretty large at that.,1,yelp,The pancake was also really good and pretty large at that,pancake also really good pretty large,11
2497,"This was my first crawfish experience, and it was delicious!",1,yelp,This was my first crawfish experience and it was delicious,first crawfish experience delicious,10
2498,Their monster chicken fried steak and eggs is my all time favorite.,1,yelp,Their monster chicken fried steak and eggs is my all time favorite,monster chicken fried steak eggs time favorite,12
2499,Waitress was sweet and funny.,1,yelp,Waitress was sweet and funny,waitress sweet funny,5
2500,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,yelp,I also had to taste my Moms multigrain pumpkin pancakes with pecan butter and they were amazing fluffy and delicious,also taste moms multigrain pumpkin pancakes pecan butter amazing fluffy delicious,20
2501,"I'd rather eat airline food, seriously.",0,yelp,Id rather eat airline food seriously,id rather eat airline food seriously,6
2502,Cant say enough good things about this place.,1,yelp,Cant say enough good things about this place,cant say enough good things place,8
2503,The ambiance was incredible.,1,yelp,The ambiance was incredible,ambiance incredible,4
2504,The waitress and manager are so friendly.,1,yelp,The waitress and manager are so friendly,waitress manager friendly,7
2505,I would not recommend this place.,0,yelp,I would not recommend this place,would recommend place,6
2506,Overall I wasn't very impressed with Noca.,0,yelp,Overall I wasnt very impressed with Noca,overall wasnt impressed noca,7
2507,My gyro was basically lettuce only.,0,yelp,My gyro was basically lettuce only,gyro basically lettuce,6
2508,Terrible service!,0,yelp,Terrible service,terrible service,2
2509,Thoroughly disappointed!,0,yelp,Thoroughly disappointed,thoroughly disappointed,2
2510,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1,yelp,I dont each much pasta but I love the homemade hand made pastas and thin pizzas here,dont much pasta love homemade hand made pastas thin pizzas,17
2511,"Give it a try, you will be happy you did.",1,yelp,Give it a try you will be happy you did,give try happy,10
2512,By far the BEST cheesecurds we have ever had!,1,yelp,By far the BEST cheesecurds we have ever had,far best cheesecurds ever,9
2513,Reasonably priced also!,1,yelp,Reasonably priced also,reasonably priced also,3
2514,Everything was perfect the night we were in.,1,yelp,Everything was perfect the night we were in,everything perfect night,8
2515,The food is very good for your typical bar food.,1,yelp,The food is very good for your typical bar food,food good typical bar food,10
2516,it was a drive to get there.,0,yelp,it was a drive to get there,drive get,7
2517,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,yelp,At first glance it is a lovely bakery cafe  nice ambiance clean friendly staff,first glance lovely bakery cafe nice ambiance clean friendly staff,14
2518,"Anyway, I do not think i will go back there.",0,yelp,Anyway I do not think i will go back there,anyway think go back,10
2519,"Point your finger at any item on the menu, order it and you won't be disappointed.",1,yelp,Point your finger at any item on the menu order it and you wont be disappointed,point finger item menu order wont disappointed,16
2520,"Oh this is such a thing of beauty, this restaurant.",1,yelp,Oh this is such a thing of beauty this restaurant,oh thing beauty restaurant,10
2521,If you haven't gone here GO NOW!,1,yelp,If you havent gone here GO NOW,havent gone go,7
2522,"A greasy, unhealthy meal.",0,yelp,A greasy unhealthy meal,greasy unhealthy meal,4
2523,first time there and might just be the last.,0,yelp,first time there and might just be the last,first time might last,9
2524,Those burgers were amazing.,1,yelp,Those burgers were amazing,burgers amazing,4
2525,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,yelp,Similarly the delivery man did not say a word of apology when our food was 45 minutes late,similarly delivery man say word apology food 45 minutes late,18
2526,And it was way to expensive.,0,yelp,And it was way to expensive,way expensive,6
2527,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,yelp,Be sure to order dessert even if you need to pack it togo  the tiramisu and cannoli are both to die for,sure order dessert even need pack togo tiramisu cannoli die,22
2528,This was my first time and I can't wait until the next.,1,yelp,This was my first time and I cant wait until the next,first time cant wait next,12
2529,The bartender was also nice.,1,yelp,The bartender was also nice,bartender also nice,5
2530,Everything was good and tasty!,1,yelp,Everything was good and tasty,everything good tasty,5
2531,This place is two thumbs up....way up.,1,yelp,This place is two thumbs upway up,place two thumbs upway,7
2532,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,yelp,The best place in Vegas for breakfast just check out a Sat or Sun,best place vegas breakfast check sat sun,14
2533,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,yelp,If you love authentic Mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,love authentic mexican food want whole bunch interesting yet delicious meats choose need try place,25
2534,Terrible management.,0,yelp,Terrible management,terrible management,2
2535,An excellent new restaurant by an experienced Frenchman.,1,yelp,An excellent new restaurant by an experienced Frenchman,excellent new restaurant experienced frenchman,8
2536,If there were zero stars I would give it zero stars.,0,yelp,If there were zero stars I would give it zero stars,zero stars would give zero stars,11
2537,"Great steak, great sides, great wine, amazing desserts.",1,yelp,Great steak great sides great wine amazing desserts,great steak great sides great wine amazing desserts,8
2538,Worst martini ever!,0,yelp,Worst martini ever,worst martini ever,3
2539,The steak and the shrimp are in my opinion the best entrees at GC.,1,yelp,The steak and the shrimp are in my opinion the best entrees at GC,steak shrimp opinion best entrees gc,14
2540,I had the opportunity today to sample your amazing pizzas!,1,yelp,I had the opportunity today to sample your amazing pizzas,opportunity today sample amazing pizzas,10
2541,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,yelp,We waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting,waited thirty minutes seated although 8 vacant tables folks waiting,21
2542,The yellowtail carpaccio was melt in your mouth fresh.,1,yelp,The yellowtail carpaccio was melt in your mouth fresh,yellowtail carpaccio melt mouth fresh,9
2543,I won't try going back there even if it's empty.,0,yelp,I wont try going back there even if its empty,wont try going back even empty,10
2544,"No, I'm going to eat the potato that I found some strangers hair in it.",0,yelp,No Im going to eat the potato that I found some strangers hair in it,im going eat potato found strangers hair,15
2545,Just spicy enough.. Perfect actually.,1,yelp,Just spicy enough Perfect actually,spicy enough perfect actually,5
2546,Last night was my second time dining here and I was so happy I decided to go back!,1,yelp,Last night was my second time dining here and I was so happy I decided to go back,last night second time dining happy decided go back,18
2547,"not even a ""hello, we will be right with you.""",0,yelp,not even a hello we will be right with you,even hello right,10
2548,The desserts were a bit strange.,0,yelp,The desserts were a bit strange,desserts bit strange,6
2549,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,yelp,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service,boyfriend came first time recent trip vegas could pleased quality food service,30
2550,"I really do recommend this place, you can go wrong with this donut place!",1,yelp,I really do recommend this place you can go wrong with this donut place,really recommend place go wrong donut place,14
2551,Nice ambiance.,1,yelp,Nice ambiance,nice ambiance,2
2552,I would recommend saving room for this!,1,yelp,I would recommend saving room for this,would recommend saving room,7
2553,I guess maybe we went on an off night but it was disgraceful.,0,yelp,I guess maybe we went on an off night but it was disgraceful,guess maybe went night disgraceful,13
2554,"However, my recent experience at this particular location was not so good.",0,yelp,However my recent experience at this particular location was not so good,however recent experience particular location good,12
2555,"I know this is not like the other restaurants at all, something is very off here!",0,yelp,I know this is not like the other restaurants at all something is very off here,know like restaurants something,16
2556,AVOID THIS ESTABLISHMENT!,0,yelp,AVOID THIS ESTABLISHMENT,avoid establishment,3
2557,I think this restaurant suffers from not trying hard enough.,0,yelp,I think this restaurant suffers from not trying hard enough,think restaurant suffers trying hard enough,10
2558,All of the tapas dishes were delicious!,1,yelp,All of the tapas dishes were delicious,tapas dishes delicious,7
2559,I *heart* this place.,1,yelp,I heart this place,heart place,4
2560,My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,yelp,My salad had a bland vinegrette on the baby greens and hearts of Palm,salad bland vinegrette baby greens hearts palm,14
2561,After two I felt disgusting.,0,yelp,After two I felt disgusting,two felt disgusting,5
2562,A good time!,1,yelp,A good time,good time,3
2563,I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,yelp,I believe that this place is a great stop for those with a huge belly and hankering for sushi,believe place great stop huge belly hankering sushi,19
2564,Generous portions and great taste.,1,yelp,Generous portions and great taste,generous portions great taste,5
2565,I will never go back to this place and will never ever recommended this place to anyone!,0,yelp,I will never go back to this place and will never ever recommended this place to anyone,never go back place never ever recommended place anyone,17
2566,"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,yelp,The servers went back and forth several times not even so much as an Are you being helped,servers went back forth several times even much helped,18
2567,Food was delicious!,1,yelp,Food was delicious,food delicious,3
2568,AN HOUR... seriously?,0,yelp,AN HOUR seriously,hour seriously,3
2569,I consider this theft.,0,yelp,I consider this theft,consider theft,4
2570,Eew... This location needs a complete overhaul.,0,yelp,Eew This location needs a complete overhaul,eew location needs complete overhaul,7
2571,We recently witnessed her poor quality of management towards other guests as well.,0,yelp,We recently witnessed her poor quality of management towards other guests as well,recently witnessed poor quality management towards guests well,13
2572,Waited and waited and waited.,0,yelp,Waited and waited and waited,waited waited waited,5
2573,"He also came back to check on us regularly, excellent service.",1,yelp,He also came back to check on us regularly excellent service,also came back check us regularly excellent service,11
2574,Our server was super nice and checked on us many times.,1,yelp,Our server was super nice and checked on us many times,server super nice checked us many times,11
2575,"The pizza tasted old, super chewy in not a good way.",0,yelp,The pizza tasted old super chewy in not a good way,pizza tasted old super chewy good way,11
2576,I swung in to give them a try but was deeply disappointed.,0,yelp,I swung in to give them a try but was deeply disappointed,swung give try deeply disappointed,12
2577,Service was good and the company was better!,1,yelp,Service was good and the company was better,service good company better,8
2578,The staff are also very friendly and efficient.,1,yelp,The staff are also very friendly and efficient,staff also friendly efficient,8
2579,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,yelp,As for the service Im a fan because its quick and youre being served by some nice folks,service im fan quick youre served nice folks,18
2580,Boy was that sucker dry!!.,0,yelp,Boy was that sucker dry,boy sucker dry,5
2581,Over rated.,0,yelp,Over rated,rated,2
2582,"If you look for authentic Thai food, go else where.",0,yelp,If you look for authentic Thai food go else where,look authentic thai food go else,10
2583,Their steaks are 100% recommended!,1,yelp,Their steaks are 100 recommended,steaks 100 recommended,5
2584,After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,yelp,After I pulled up my car I waited for another 15 minutes before being acknowledged,pulled car waited another 15 minutes acknowledged,15
2585,Great food and great service in a clean and friendly setting.,1,yelp,Great food and great service in a clean and friendly setting,great food great service clean friendly setting,11
2586,"All in all, I can assure you I'll be back.",1,yelp,All in all I can assure you Ill be back,assure ill back,10
2587,I hate those things as much as cheap quality black olives.,0,yelp,I hate those things as much as cheap quality black olives,hate things much cheap quality black olives,11
2588,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,yelp,My breakfast was perpared great with a beautiful presentation of 3 giant slices of Toast lightly dusted with powdered sugar,breakfast perpared great beautiful presentation 3 giant slices toast lightly dusted powdered sugar,20
2589,The kids play area is NASTY!,0,yelp,The kids play area is NASTY,kids play area nasty,6
2590,Great place fo take out or eat in.,1,yelp,Great place fo take out or eat in,great place fo take eat,8
2591,The waitress was friendly and happy to accomodate for vegan/veggie options.,1,yelp,The waitress was friendly and happy to accomodate for veganveggie options,waitress friendly happy accomodate veganveggie options,11
2592,OMG I felt like I had never eaten Thai food until this dish.,1,yelp,OMG I felt like I had never eaten Thai food until this dish,omg felt like never eaten thai food dish,13
2593,"It was extremely ""crumby"" and pretty tasteless.",0,yelp,It was extremely crumby and pretty tasteless,extremely crumby pretty tasteless,7
2594,It was a pale color instead of nice and char and has NO flavor.,0,yelp,It was a pale color instead of nice and char and has NO flavor,pale color instead nice char flavor,14
2595,The croutons also taste homemade which is an extra plus.,1,yelp,The croutons also taste homemade which is an extra plus,croutons also taste homemade extra plus,10
2596,I got home to see the driest damn wings ever!,0,yelp,I got home to see the driest damn wings ever,got home see driest damn wings ever,10
2597,It'll be a regular stop on my trips to Phoenix!,1,yelp,Itll be a regular stop on my trips to Phoenix,itll regular stop trips phoenix,10
2598,I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1,yelp,I really enjoyed Crema Café before they expanded I even told friends they had the BEST breakfast,really enjoyed crema café expanded even told friends best breakfast,17
2599,Not good for the money.,0,yelp,Not good for the money,good money,5
2600,I miss it and wish they had one in Philadelphia!,1,yelp,I miss it and wish they had one in Philadelphia,miss wish one philadelphia,10
2601,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,yelp,We got sitting fairly fast but ended up waiting 40 minutes just to place our order another 30 minutes before the food arrived,got sitting fairly fast ended waiting 40 minutes place order another 30 minutes food arrived,23
2602,They also have the best cheese crisp in town.,1,yelp,They also have the best cheese crisp in town,also best cheese crisp town,9
2603,"Good value, great food, great service.",1,yelp,Good value great food great service,good value great food great service,6
2604,Couldn't ask for a more satisfying meal.,1,yelp,Couldnt ask for a more satisfying meal,couldnt ask satisfying meal,7
2605,The food is good.,1,yelp,The food is good,food good,4
2606,It was awesome.,1,yelp,It was awesome,awesome,3
2607,I just wanted to leave.,0,yelp,I just wanted to leave,wanted leave,5
2608,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,yelp,We made the drive all the way from North Scottsdale and I was not one bit disappointed,made drive way north scottsdale one bit disappointed,17
2609,I will not be eating there again.,0,yelp,I will not be eating there again,eating,7
